Cluster Index	Z	x	y	z	
5	13	-35.2	-28.7	70
5	11.9	-47.7	-22.6	68.4
5	11.4	-44.7	-29.9	66
5	11.1	-25.7	-24.4	73
5	10.9	-41.6	-22.3	58.6
5	9.96	-35.5	-23.6	54.1
4	5.31	33.6	73.7	4.72
4	4.9	-19.8	79	-9.69
4	4.85	11.4	75.9	-9.57
4	4.81	-38.8	56.9	-6.34
4	4.67	30	65.5	-11.4
4	4.62	5.54	82.8	2.48
3	4.05	-36.3	-69.1	45.8
3	3.63	-27.1	-62.8	33.9
3	3.37	-14.5	-50.9	29.5
3	2.98	-8.32	-53.9	30.3
3	2.88	-20.7	-58.5	37
3	2.68	-14.4	-43.6	31.7
2	4.09	-38.2	19.5	44.3
2	3.57	-16.2	20.7	47.9
2	3.36	-35.1	10.6	47.2
2	3.28	-22.5	17.8	49.1
2	2.9	-44.4	22.6	43.4
1	4.51	21.2	64.4	17.7
1	3.85	8.72	61.5	19.1
1	3.73	27.2	52.8	12
1	3.59	27.5	61.4	18.6
1	3.22	27.5	70.4	15.5
