Cluster Index	Voxels	P	-log10(P)	Z-MAX	Z-MAX X (vox)	Z-MAX Y (vox)	Z-MAX Z (vox)	Z-COG X (vox)	Z-COG Y (vox)	Z-COG Z (vox)	COPE-MAX	COPE-MAX X (vox)	COPE-MAX Y (vox)	COPE-MAX Z (vox)	COPE-MEAN
10	529	3.51e-26	25.5	7.58	21	43	3	27	47.4	4.48	385	27	48	0	79.7
9	504	2.67e-25	24.6	8.69	39	42	12	35.5	40.3	11.2	719	37	44	14	103
8	146	3.43e-10	9.46	5.13	49	65	6	49.8	60.8	6.85	579	49	63	0	67
7	109	5.96e-08	7.22	6.55	24	22	9	23.6	21.9	6.69	220	25	21	9	85.1
6	78	3.58e-06	5.45	5.53	56	45	2	53.3	45.4	1.58	557	53	47	0	111
5	65	2.76e-05	4.56	5.66	52	38	9	54.2	38.7	10	158	54	37	11	62.5
4	60	6.28e-05	4.2	5.81	37	14	6	35.7	14.1	5.49	227	35	13	4	97.4
3	56	0.000123	3.91	5.52	61	28	6	59.8	27.6	6.55	106	61	28	6	55.5
2	39	0.00263	2.58	5.78	19	27	4	19.9	28.9	3.66	180	19	27	4	73.1
1	39	0.00263	2.58	6.63	49	40	2	45.9	38.1	2.43	180	49	40	2	77.1
