Cluster Index	Z	x	y	z	
10	7.58	21	43	3
10	6.32	27	48	1
10	6.3	24	42	1
10	6.24	23	45	2
10	6.16	23	51	6
10	6.07	32	40	2
9	8.69	39	42	12
9	8.58	34	34	14
9	8.35	38	44	14
9	7.52	38	44	9
9	6.94	42	34	14
9	6.74	35	36	13
8	5.13	49	65	6
8	5.04	49	65	2
8	4.95	50	64	8
8	4.88	47	67	5
8	4.87	42	66	8
8	4.7	53	60	7
7	6.55	24	22	9
7	4.99	19	25	6
7	4.49	23	20	6
7	4.33	21	22	6
7	3.94	25	22	6
7	3.81	20	26	8
6	5.53	56	45	2
6	5.17	53	45	1
6	4.62	56	41	2
6	4.49	55	48	1
6	4.29	49	50	2
6	4.24	50	48	4
5	5.66	52	38	9
5	5.02	54	37	11
5	4.63	55	40	11
5	4.2	56	38	11
5	3.89	58	39	10
5	3.26	51	36	12
4	5.81	37	14	6
4	5.09	33	14	6
4	4.91	35	12	5
4	3.65	38	16	3
4	3.2	38	18	8
3	5.52	61	28	6
3	4.19	57	28	5
3	3.64	62	33	4
3	3.33	61	27	8
3	3.22	59	25	8
3	3.19	60	29	9
2	5.78	19	27	4
2	4.43	20	32	4
2	4.19	18	31	4
2	4	18	33	4
2	3.21	22	30	3
1	6.63	49	40	2
1	4.96	45	36	3
1	4.15	45	37	5
1	3.65	46	39	1
1	3.27	45	37	1
1	3.23	45	38	3
