Cluster Index	Voxels	P	-log10(P)	Z-MAX	Z-MAX X (mm)	Z-MAX Y (mm)	Z-MAX Z (mm)	Z-COG X (mm)	Z-COG Y (mm)	Z-COG Z (mm)	COPE-MAX	COPE-MAX X (mm)	COPE-MAX Y (mm)	COPE-MAX Z (mm)	COPE-MEAN
15	463	3.66e-20	19.4	5.83	6.54	-87.9	22.4	2.91	-80.8	14.2	338	3.31	-86.2	17.2	114
14	398	4.63e-18	17.3	5.55	-3.87	16.1	40.7	-1.5	5.09	42.4	397	6.37	25	70.6	114
13	383	1.47e-17	16.8	5.82	-38	46.4	32	-46.4	29	19.7	359	-38	46.4	32	121
12	294	1.94e-14	13.7	5.41	49.1	52.7	8.04	44.7	36.1	14.4	329	60.6	7.23	-1.15	96.7
11	200	8.97e-11	10	5.96	-41.3	-2.04	57.4	-31.9	-2.37	63.2	354	-19	-12.1	78.8	102
10	143	2.9e-08	7.54	4.32	31.1	-67.5	-8.83	34.1	-66.1	-20.8	391	24.7	-71.7	-12	112
9	63	0.000475	3.32	5.76	-14.7	-84.4	45.6	-13.2	-78.3	46.9	411	-11.6	-81.4	44.5	150
8	61	0.00063	3.2	4.72	63.8	-47.7	35.6	62.4	-41.6	34.1	219	66.8	-37	27.3	77.7
7	60	0.000727	3.14	4.78	-36.2	-53	40.8	-39.4	-56.5	43.8	329	-45.6	-66.7	50.3	116
6	50	0.00319	2.5	4.34	-65.5	-32.1	-21.9	-62.5	-33.7	-21.5	81.4	-65.5	-32.1	-21.9	50.2
5	42	0.0111	1.95	4.87	17.2	-11.4	25.3	14.5	-4.55	20.7	195	17.2	-11.4	25.3	106
4	40	0.0154	1.81	4.18	56.8	-52.3	8.99	57.8	-49.9	10.5	223	59.9	-52.3	8.89	98.7
3	40	0.0154	1.81	3.64	43	-0.911	49.4	43.3	0.825	50.2	137	46.3	-1.39	58.9	79.7
2	39	0.0181	1.74	3.91	26.2	4.47	0.924	31.8	-8.93	-0.944	140	29.3	1.45	1.81	89
1	33	0.0496	1.3	5.39	-45	-49.6	63.6	-46.8	-48.6	61.8	441	-41.9	-52.6	64.5	176
