Cluster Index	Voxels	P	-log10(P)	Z-MAX	Z-MAX X (vox)	Z-MAX Y (vox)	Z-MAX Z (vox)	Z-COG X (vox)	Z-COG Y (vox)	Z-COG Z (vox)	COPE-MAX	COPE-MAX X (vox)	COPE-MAX Y (vox)	COPE-MAX Z (vox)	COPE-MEAN
18	271	0	55.9	8.89	28	31	26	22.8	30.5	21.6	448	30	32	26	87.4
17	125	2.87e-33	32.5	6.91	34	18	6	34	18.2	5.89	153	34	18	6	75.8
16	16	1.79e-07	6.75	5.44	17	36	10	16.6	35.9	9.55	156	16	38	10	76.9
15	12	6.14e-06	5.21	3.75	30	30	10	29.1	28.4	10.2	128	30	29	10	95
14	11	1.57e-05	4.8	4.5	31	32	21	31.4	32.4	20.9	134	32	32	21	88.2
13	11	1.57e-05	4.8	4.69	48	28	12	47.7	27.6	11.9	55.8	47	28	13	42.3
12	8	0.00032	3.49	4.16	18	21	11	17.5	21.1	11	51	18	21	11	39.4
11	8	0.00032	3.49	4.14	28	27	2	28	26.6	2.63	141	29	27	4	96
10	8	0.00032	3.49	4.52	42	49	5	40.6	50.4	6.16	82.6	40	52	9	65.6
9	7	0.000947	3.02	3.61	42	48	10	43	48.6	8.45	71.3	42	50	9	57
8	7	0.000947	3.02	4.37	38	35	9	38.5	35.6	9.13	66.2	39	35	9	58.3
7	7	0.000947	3.02	3.66	32	12	14	31.4	12.7	14.9	201	32	13	16	167
6	5	0.00981	2.01	3.9	35	27	10	33.5	26.6	10	189	32	25	10	159
5	5	0.00981	2.01	3.59	25	27	10	24.8	26.4	10.8	57.1	25	27	10	47.1
4	5	0.00981	2.01	4.06	33	17	1	32.4	15.8	1.02	62.3	33	14	2	55.2
3	4	0.0351	1.45	3.61	28	12	6	28.5	12	6.27	373	28	12	6	219
2	4	0.0351	1.45	3.56	41	14	6	41.5	14.3	5.51	132	40	14	6	89.6
1	4	0.0351	1.45	3.72	34	22	21	33.7	22.2	21.7	72.8	33	22	22	59.5
