Cluster Index	Z	x	y	z	
18	8.89	28	31	26
18	8.6	23	31	23
18	7.76	23	33	23
18	7.24	25	30	25
18	7.2	25	29	20
18	7.18	21	32	22
17	6.91	34	18	6
17	6.73	37	19	5
17	5.41	39	19	4
17	5.03	42	18	3
17	4.82	29	15	7
17	4.62	36	22	4
16	5.44	17	36	10
16	5.07	16	38	10
15	3.75	30	30	10
15	3.55	29	26	10
15	3.18	27	28	10
14	4.5	31	32	21
13	4.69	48	28	12
13	4.25	48	28	10
12	4.16	18	21	11
11	4.14	28	27	2
10	4.52	42	49	5
10	3.66	40	49	4
10	3.5	40	52	8
9	3.61	42	48	10
9	3.56	43	49	8
8	4.37	38	35	9
7	3.66	32	12	14
7	3.65	30	13	15
6	3.9	35	27	10
6	3.23	33	26	10
5	3.59	25	27	10
4	4.06	33	17	1
4	3.88	33	14	2
4	3.52	31	17	0
3	3.61	28	12	6
2	3.56	41	14	6
2	3.48	43	15	5
1	3.72	34	22	21
