Cluster Index	Voxels	P	-log10(P)	Z-MAX	Z-MAX X (vox)	Z-MAX Y (vox)	Z-MAX Z (vox)	Z-COG X (vox)	Z-COG Y (vox)	Z-COG Z (vox)	COPE-MAX	COPE-MAX X (vox)	COPE-MAX Y (vox)	COPE-MAX Z (vox)	COPE-MEAN
15	30	5.13e-11	10.3	5.16	25	30	21	21.2	30.6	20.2	119	18	30	18	56.7
14	26	6.72e-10	9.17	4.48	21	24	22	20.7	24.3	21.3	170	23	22	24	54.8
13	23	5.05e-09	8.3	5.06	38	21	3	38.2	20.6	2.7	76.7	38	20	3	54.8
12	22	1.01e-08	8	4.49	42	35	20	42.1	33.9	20.4	62.3	43	36	21	47.9
11	19	5.96e-08	7.22	5.15	44	28	20	45	27.2	19.9	59.3	44	28	20	41
10	15	1.79e-06	5.75	6.21	17	36	10	16.9	36.6	10.4	182	16	37	11	90.2
9	13	9.06e-06	5.04	5.06	32	33	20	32.2	33.3	21.8	167	32	31	22	90
8	11	4.99e-05	4.3	4.64	30	34	12	29.3	33.8	12.4	143	30	34	12	78.3
7	11	4.99e-05	4.3	4.84	32	42	20	32.5	42	19.4	98.1	32	42	20	72.6
6	8	0.000796	3.1	5.01	23	46	9	23.2	47.1	8.51	82	24	49	8	57.3
5	7	0.00216	2.67	4.35	29	33	26	28.6	32.6	25.7	273	30	33	26	182
4	6	0.00613	2.21	4.09	47	29	5	47.8	28.5	5.04	45	47	29	5	38.8
3	6	0.00613	2.21	4.2	22	38	18	21.7	38.3	18.3	77.3	22	38	18	56
2	5	0.0184	1.73	5.37	48	27	13	47.6	27.2	13	55	48	28	13	43.7
1	5	0.0184	1.73	4.01	44	26	11	44.4	25.4	10.6	54.6	44	26	11	45.9
