Cluster Index	Z	x	y	z	
15	5.16	25	30	21
15	4.57	21	31	20
15	4.54	18	30	18
15	4.39	24	33	22
15	4.36	23	32	20
15	4.14	18	29	20
14	4.48	21	24	22
14	4.22	18	26	20
14	3.94	22	25	20
14	3.49	25	23	24
13	5.06	38	21	3
13	4.27	41	20	3
13	4.12	38	22	0
12	4.49	42	35	20
12	4.49	44	35	21
12	3.19	42	30	20
11	5.15	44	28	20
11	3.9	45	25	20
11	3.76	48	27	18
10	6.21	17	36	10
10	4.9	18	37	12
10	3.43	19	36	9
9	5.06	32	33	20
9	4.56	32	35	24
9	3.27	33	35	22
8	4.64	30	34	12
7	4.84	32	42	20
7	3.63	34	40	19
6	5.01	23	46	9
5	4.35	29	33	26
5	4.05	27	32	25
4	4.09	47	29	5
4	3.87	49	28	6
3	4.2	22	38	18
2	5.37	48	27	13
1	4.01	44	26	11
