timestamp	direction	source	message
815	outgoing	nodeServer	connectedClients
815	outgoing	nodeServer	setTaskState: startScreen
815	outgoing	nodeServer	updateScore
2512	outgoing	nodeServer	connectedClients
2512	incoming	extraClient	disconnected
2734	outgoing	nodeServer	connectedClients
2734	outgoing	nodeServer	setTaskState: startScreen
2734	outgoing	nodeServer	updateScore
3511	outgoing	nodeServer	connectedClients
3511	incoming	SENDER	senderCheckIn
4026	outgoing	nodeServer	connectedClients
4026	incoming	RECEIVER	receiverCheckIn
4487	outgoing	nodeServer	updateScore
4487	outgoing	nodeServer	setTaskState: dummyScans
4488	incoming	SENDER	startTask
5489	outgoing	nodeServer	setTaskState: goTrial
6001	outgoing	nodeServer	openMouth
6001	incoming	SENDER	openMouth
6200	outgoing	nodeServer	catchBug
6200	outgoing	nodeServer	updateScore
6200	incoming	SENDER	catchBug
7491	outgoing	nodeServer	setTaskState: rest
7491	outgoing	nodeServer	closeMouth
9497	outgoing	nodeServer	setTaskState: noGoTrial
9904	outgoing	nodeServer	openMouth
9904	incoming	SENDER	openMouth
10152	outgoing	nodeServer	catchBug
10152	outgoing	nodeServer	updateScore
10152	incoming	SENDER	catchBug
11499	outgoing	nodeServer	setTaskState: rest
11499	outgoing	nodeServer	closeMouth
13502	outgoing	nodeServer	setTaskState: end
