timestamp	direction	source	message
193280	outgoing	nodeServer	updateScore
193280	outgoing	nodeServer	startTask
193280	outgoing	nodeServer	setTaskState: dummyScans
193280	incoming	SENDER	startTask
201282	outgoing	nodeServer	setTaskState: noGoTrial
211282	outgoing	nodeServer	setTaskState: rest
217103	outgoing	nodeServer	openMouth
217103	incoming	SENDER	openMouth
218166	incoming	SENDER	openMouth
218829	outgoing	nodeServer	closeMouth
218829	incoming	SENDER	closeMouth
219287	outgoing	nodeServer	setTaskState: goTrial
222525	outgoing	nodeServer	openMouth
222525	incoming	SENDER	openMouth
226422	outgoing	nodeServer	catchBug
226422	outgoing	nodeServer	updateScore
226422	incoming	SENDER	catchBug
229289	outgoing	nodeServer	setTaskState: rest
229289	outgoing	nodeServer	closeMouth
237293	outgoing	nodeServer	setTaskState: goTrial
247298	outgoing	nodeServer	setTaskState: rest
255301	outgoing	nodeServer	setTaskState: noGoTrial
262301	outgoing	nodeServer	openMouth
262301	incoming	SENDER	openMouth
262741	outgoing	nodeServer	catchBug
262741	outgoing	nodeServer	updateScore
262741	incoming	SENDER	catchBug
265303	outgoing	nodeServer	setTaskState: rest
265303	outgoing	nodeServer	closeMouth
273307	outgoing	nodeServer	setTaskState: goTrial
276932	outgoing	nodeServer	openMouth
276932	incoming	SENDER	openMouth
279420	outgoing	nodeServer	closeMouth
279420	incoming	SENDER	closeMouth
281508	outgoing	nodeServer	openMouth
281508	incoming	SENDER	openMouth
282588	outgoing	nodeServer	catchBug
282588	outgoing	nodeServer	updateScore
282588	incoming	SENDER	catchBug
283308	outgoing	nodeServer	setTaskState: rest
283308	outgoing	nodeServer	closeMouth
291312	outgoing	nodeServer	setTaskState: noGoTrial
301317	outgoing	nodeServer	setTaskState: rest
309322	outgoing	nodeServer	setTaskState: noGoTrial
319325	outgoing	nodeServer	setTaskState: rest
327329	outgoing	nodeServer	setTaskState: goTrial
337334	outgoing	nodeServer	setTaskState: rest
345337	outgoing	nodeServer	setTaskState: goTrial
355339	outgoing	nodeServer	setTaskState: rest
363341	outgoing	nodeServer	setTaskState: noGoTrial
371814	outgoing	nodeServer	openMouth
371814	incoming	SENDER	openMouth
372102	outgoing	nodeServer	catchBug
372102	outgoing	nodeServer	updateScore
372102	incoming	SENDER	catchBug
373346	outgoing	nodeServer	setTaskState: rest
373346	outgoing	nodeServer	closeMouth
381347	outgoing	nodeServer	setTaskState: goTrial
384967	outgoing	nodeServer	connectedClients
384967	incoming	extraClient	disconnected
391351	outgoing	nodeServer	setTaskState: rest
399352	outgoing	nodeServer	setTaskState: noGoTrial
409356	outgoing	nodeServer	setTaskState: rest
417360	outgoing	nodeServer	setTaskState: end
